quote_id,speaker,confidence,method,paragraph,text
q00024,Seth,0.98,after-verb-name,30,"“Come and hear her, Ben,”"
q00025,Ben,0.96,before-name-verb,30,"“she's going to preach on the Green to-night; happen ye'd get something to think on yourself then, instead o' those wicked songs you're so fond on. Ye might get religion, and that 'ud be the best day's earnings y' ever made.”"
q00026,,0.00,unresolved,31,"“All i' good time for that, Seth; I'll think about that when I'm a-goin' to settle i' life; bachelors doesn't want such heavy earnin's. Happen I shall do the coortin' an' the religion both together, as ye do, Seth; but ye wouldna ha' me get converted an' chop in atween ye an' the pretty preacher, an' carry her aff?”"
q00027,,0.00,unresolved,32,"“No fear o' that, Ben; she's neither for you nor for me to win, I doubt. Only you come and hear her, and you won't speak lightly on her again.”"
q00028,,0.00,unresolved,33,"“Well, I'm half a mind t' ha' a look at her to-night, if there isn't good company at th' Holly Bush. What'll she take for her text? Happen ye can tell me, Seth, if so be as I shouldna come up i' time for't. Will't be—what come ye out for to see? A prophetess? Yea, I say unto you, and more than a prophetess—a uncommon pretty young woman.”"
q00029,Adam,0.98,after-verb-name,34,"“Come, Ben,”"
q00030,Ben,0.96,before-name-verb,34,“you let the words o' the Bible alone; you're going too far now.”
q00031,,0.00,unresolved,35,"“What! Are ye a-turnin' roun', Adam? I thought ye war dead again th' women preachin', a while agoo?”"
q00032,,0.00,unresolved,36,"“Nay, I'm not turnin' noway. I said nought about the women preachin'. I said, You let the Bible alone: you've got a jest-book, han't you, as you're rare and proud on? Keep your dirty fingers to that.”"
q00033,,0.00,unresolved,37,"“Why, y' are gettin' as big a saint as Seth. Y' are goin' to th' preachin' to-night, I should think. Ye'll do finely t' lead the singin'. But I don' know what Parson Irwine 'ull say at his gran' favright Adam Bede a-turnin' Methody.”"
q00034,,0.00,unresolved,38,"“Never do you bother yourself about me, Ben. I'm not a-going to turn Methodist any more nor you are—though it's like enough you'll turn to something worse. Mester Irwine's got more sense nor to meddle wi' people's doing as they like in religion. That's between themselves and God, as he's said to me many a time.”"
q00035,,0.00,unresolved,39,"“Aye, aye; but he's none so fond o' your dissenters, for all that.”"
q00036,,0.00,unresolved,40,"“Maybe; I'm none so fond o' Josh Tod's thick ale, but I don't hinder you from making a fool o' yourself wi't.”"
q00037,Seth,0.96,before-name-verb,41,"“Nay, nay, Addy, thee mustna say as anybody's religion's like thick ale. Thee dostna believe but what the dissenters and the Methodists have got the root o' the matter as well as the church folks.”"
q00038,,0.00,unresolved,42,"“Nay, Seth, lad; I'm not for laughing at no man's religion. Let 'em follow their consciences, that's all. Only I think it 'ud be better if their consciences 'ud let 'em stay quiet i' the church—there's a deal to be learnt there. And there's such a thing as being oversperitial; we must have something beside Gospel i' this world. Look at the canals, an' th' aqueduc's, an' th' coal-pit engines, and Arkwright's mills there at Cromford; a man must learn summat beside Gospel to make them things, I reckon. But t' hear some o' them preachers, you'd think as a man must be doing nothing all's life but shutting's eyes and looking what's agoing on inside him. I know a man must have the love o' God in his soul, and the Bible's God's word. But what does the Bible say? Why, it says as God put his sperrit into the workman as built the tabernacle, to make him do all the carved work and things as wanted a nice hand. And this is my way o' looking at it: there's the sperrit o' God in all things and all times—weekday as well as Sunday—and i' the great works and inventions, and i' the figuring and the mechanics. And God helps us with our headpieces and our hands as well as with our souls; and if a man does bits o' jobs out o' working hours—builds a oven for 's wife to save her from going to the bakehouse, or scrats at his bit o' garden and makes two potatoes grow istead o' one, he's doin' more good, and he's just as near to God, as if he was running after some preacher and a-praying and a-groaning.”"
q00039,Jim,0.98,after-verb-name,43,"“Well done, Adam!”"
q00040,Adam,0.96,before-name-verb,43,"“that's the best sarmunt I've heared this long while. By th' same token, my wife's been a-plaguin' on me to build her a oven this twelvemont.”"
q00041,Seth,0.98,after-verb-name,44,"“There's reason in what thee say'st, Adam,”"
q00042,Adam,0.96,before-name-verb,44,"“But thee know'st thyself as it's hearing the preachers thee find'st so much fault with has turned many an idle fellow into an industrious un. It's the preacher as empties th' alehouse; and if a man gets religion, he'll do his work none the worse for that.”"
q00043,Wiry Ben,0.98,after-verb-name,45,"“On'y he'll lave the panels out o' th' doors sometimes, eh, Seth?”"
q00044,Wiry Ben,0.78,neighbor-continuation,46,"“Ah, Ben, you've got a joke again' me as 'll last you your life. But it isna religion as was i' fault there; it was Seth Bede , as was allays a wool-gathering chap, and religion hasna cured him, the more's the pity.”"
q00045,Wiry Ben,0.98,after-verb-name,47,"“Ne'er heed me, Seth,”"
q00046,Seth,0.96,before-name-verb,47,"“y' are a down-right good-hearted chap, panels or no panels; an' ye donna set up your bristles at every bit o' fun, like some o' your kin, as is mayhap cliverer.”"
q00047,Adam,0.98,after-verb-name,48,"“Seth, lad,”"
q00048,Seth,0.96,before-name-verb,48,“thee mustna take me unkind. I wasna driving at thee in what I said just now. Some 's got one way o' looking at things and some 's got another.”
q00049,Seth,0.98,after-verb-name,49,"“Nay, nay, Addy, thee mean'st me no unkindness,”"
q00050,Addy,0.96,before-name-verb,49,"“I know that well enough. Thee't like thy dog Gyp—thee bark'st at me sometimes, but thee allays lick'st my hand after.”"
q00051,Adam,0.96,before-name-verb,50,"“Look there, now! I can't abide to see men throw away their tools i' that way, the minute the clock begins to strike, as if they took no pleasure i' their work and was afraid o' doing a stroke too much.”"
q00052,Seth,0.96,before-name-verb,51,"“Aye, aye, Adam lad, ye talk like a young un. When y' are six-an'-forty like me, istid o' six-an'-twenty, ye wonna be so flush o' workin' for nought.”"
q00053,Adam,0.98,after-verb-name,52,"“Nonsense,”"
q00054,Adam,0.94,before-verb-name,52,"“what's age got to do with it, I wonder? Ye arena getting stiff yet, I reckon. I hate to see a man's arms drop down as if he was shot, before the clock's fairly struck, just as if he'd never a bit o' pride and delight in 's work. The very grindstone 'ull go on turning a bit after you loose it.”"
q00055,Wiry Ben,0.98,after-verb-name,53,"“Bodderation, Adam!”"
q00056,Adam,0.96,before-name-verb,53,"“lave a chap aloon, will 'ee? Ye war afinding faut wi' preachers a while agoo—y' are fond enough o' preachin' yoursen. Ye may like work better nor play, but I like play better nor work; that'll 'commodate ye—it laves ye th' more to do.”"
q00057,Adam,0.97,after-name-verb,55,“Shalt go home before thee go'st to the preaching?”
q00058,Adam,0.78,neighbor-continuation,56,"“Nay; I've got my hat and things at Will Maskery's. I shan't be home before going for ten. I'll happen see Dinah Morris safe home, if she's willing. There's nobody comes with her from Poyser's, thee know'st.”"
q00059,Adam,0.98,after-verb-name,57,"“Then I'll tell mother not to look for thee,”"
q00060,Seth,0.98,after-verb-name,58,“Thee artna going to Poyser's thyself to-night?”
q00061,,0.00,unresolved,59,"“Nay, I'm going to th' school.”"
q00062,Adam,0.98,after-verb-name,61,"“What! Art ready for the basket, eh, Gyp?”"
q00063,,0.00,unresolved,62,“Of course.”
q00064,Adam,0.96,before-name-verb,64,"“Here's the key, Dolly; lay it down for me in the house, will you?”"
q00065,,0.00,unresolved,65,"“Aye, sure; but wunna ye come in, Adam? Miss Mary's i' th' house, and Mester Burge 'ull be back anon; he'd be glad t' ha' ye to supper wi'm, I'll be's warrand.”"
q00066,,0.00,unresolved,66,"“No, Dolly, thank you; I'm off home. Good evening.”"
q00067,,0.00,unresolved,72,"“spotty globe,”"
q00068,,0.00,unresolved,72,“the family”
q00069,,0.00,unresolved,73,"“Take off the bridle and give him a drink, ostler,”"
q00070,,0.00,unresolved,74,"“Why, what's up in your pretty village, landlord?”"
q00071,,0.00,unresolved,74,“There seems to be quite a stir.”
q00072,,0.00,unresolved,75,"“It's a Methodis' preaching, sir; it's been gev hout as a young woman's a-going to preach on the Green,”"
q00073,,0.00,unresolved,75,"“Will you please to step in, sir, an' tek somethink?”"
q00074,,0.00,unresolved,76,"“No, I must be getting on to Rosseter. I only want a drink for my horse. And what does your parson say, I wonder, to a young woman preaching just under his nose?”"
q00075,,0.00,unresolved,77,"“Parson Irwine, sir, doesn't live here; he lives at Brox'on, over the hill there. The parsonage here's a tumble-down place, sir, not fit for gentry to live in. He comes here to preach of a Sunday afternoon, sir, an' puts up his hoss here. It's a grey cob, sir, an' he sets great store by't. He's allays put up his hoss here, sir, iver since before I hed the Donnithorne Arms. I'm not this countryman, you may tell by my tongue, sir. They're cur'ous talkers i' this country, sir; the gentry's hard work to hunderstand 'em. I was brought hup among the gentry, sir, an' got the turn o' their tongue when I was a bye. Why, what do you think the folks here says for ‘hevn't you?'—the gentry, you know, says, ‘hevn't you'—well, the people about here says ‘hanna yey.' It's what they call the dileck as is spoke hereabout, sir. That's what I've heared Squire Donnithorne say many a time; it's the dileck, says he.”"
q00076,,0.00,unresolved,78,"“Aye, aye,”"
q00077,,0.00,unresolved,78,"“I know it very well. But you've not got many Methodists about here, surely—in this agricultural spot? I should have thought there would hardly be such a thing as a Methodist to be found about here. You're all farmers, aren't you? The Methodists can seldom lay much hold on them.”"
q00078,,0.00,unresolved,79,"“Why, sir, there's a pretty lot o' workmen round about, sir. There's Mester Burge as owns the timber-yard over there, he underteks a good bit o' building an' repairs. An' there's the stone-pits not far off. There's plenty of emply i' this countryside, sir. An' there's a fine batch o' Methodisses at Treddles'on—that's the market town about three mile off—you'll maybe ha' come through it, sir. There's pretty nigh a score of 'em on the Green now, as come from there. That's where our people gets it from, though there's only two men of 'em in all Hayslope: that's Will Maskery, the wheelwright, and Seth Bede , a young man as works at the carpenterin'.”"
q00079,,0.00,unresolved,80,"“The preacher comes from Treddleston, then, does she?”"
q00080,,0.00,unresolved,81,"“Nay, sir, she comes out o' Stonyshire, pretty nigh thirty mile off. But she's a-visitin' hereabout at Mester Poyser's at the Hall Farm—it's them barns an' big walnut-trees, right away to the left, sir. She's own niece to Poyser's wife, an' they'll be fine an' vexed at her for making a fool of herself i' that way. But I've heared as there's no holding these Methodisses when the maggit's once got i' their head: many of 'em goes stark starin' mad wi' their religion. Though this young woman's quiet enough to look at, by what I can make out; I've not seen her myself.”"
q00081,,0.00,unresolved,82,"“Well, I wish I had time to wait and see her, but I must get on. I've been out of my way for the last twenty minutes to have a look at that place in the valley. It's Squire Donnithorne's, I suppose?”"
q00082,,0.00,unresolved,83,"“Yes, sir, that's Donnithorne Chase, that is. Fine hoaks there, isn't there, sir? I should know what it is, sir, for I've lived butler there a-going i' fifteen year. It's Captain Donnithorne as is th' heir, sir—Squire Donnithorne's grandson. He'll be comin' of hage this 'ay-'arvest, sir, an' we shall hev fine doin's. He owns all the land about here, sir, Squire Donnithorne does.”"
q00083,,0.00,unresolved,84,"“Well, it's a pretty spot, whoever may own it,”"
q00084,,0.00,unresolved,84,"“and one meets some fine strapping fellows about too. I met as fine a young fellow as ever I saw in my life, about half an hour ago, before I came up the hill—a carpenter, a tall, broad-shouldered fellow with black hair and black eyes, marching along like a soldier. We want such fellows as he to lick the French.”"
q00085,,0.00,unresolved,85,"“Aye, sir, that's Adam Bede, that is, I'll be bound—Thias Bede's son everybody knows him hereabout. He's an uncommon clever stiddy fellow, an' wonderful strong. Lord bless you, sir—if you'll hexcuse me for saying so—he can walk forty mile a-day, an' lift a matter o' sixty ston'. He's an uncommon favourite wi' the gentry, sir: Captain Donnithorne and Parson Irwine meks a fine fuss wi' him. But he's a little lifted up an' peppery-like.”"
q00086,,0.00,unresolved,86,"“Well, good evening to you, landlord; I must get on.”"
q00087,,0.00,unresolved,87,"“Your servant, sir; good evenin'.”"
q00088,,0.00,unresolved,90,“Feyther Taft”
q00089,,0.00,unresolved,90,“preacher woman”
q00090,,0.00,unresolved,90,"“what war a-goin' on, like.”"
q00091,,0.00,unresolved,90,"“Old Joshway,”"
q00092,,0.00,unresolved,90,"“Sehon, King of the Amorites; for His mercy endureth for ever; and Og the King of Basan: for His mercy endureth for ever”"
q00093,,0.00,unresolved,91,“why the folks war amakin' faces a that'ns.”
q00094,,0.00,unresolved,91,“them ear-rings”
q00095,Jim,0.98,after-verb-name,93,"“Ye gallows young dog,”"
q00096,Jim,0.94,before-verb-name,93,"“if ye donna keep that stick quiet, I'll tek it from ye. What dy'e mane by kickin' foulks?”"
q00097,Chad Cranage,0.98,after-verb-name,94,"“Here! Gie him here to me, Jim,”"
q00098,Jim,0.96,before-name-verb,94,"“I'll tie hirs up an' shoe him as I do th' hosses. Well, Mester Casson,”"
q00099,Jim,0.96,before-name-verb,94,"“how are ye t' naight? Are ye coom t' help groon? They say folks allays groon when they're hearkenin' to th' Methodys, as if they war bad i' th' inside. I mane to groon as loud as your cow did th' other naight, an' then the praicher 'ull think I'm i' th' raight way.”"
q00100,Chad,0.91,same-paragraph,95,"“I'd advise you not to be up to no nonsense, Chad,”"
q00101,Chad,0.96,before-name-verb,95,"“Poyser wouldn't like to hear as his wife's niece was treated any ways disrespectful, for all he mayn't be fond of her taking on herself to preach.”"
q00102,Wiry Ben,0.98,after-verb-name,96,"“Aye, an' she's a pleasant-looked un too,”"
q00103,Wiry Ben,0.94,before-verb-name,96,"“I'll stick up for the pretty women preachin'; I know they'd persuade me over a deal sooner nor th' ugly men. I shouldna wonder if I turn Methody afore the night's out, an' begin to coort the preacher, like Seth Bede .”"
q00104,Seth,0.91,same-paragraph,97,"“Why, Seth's looking rether too high, I should think,”"
q00105,Seth,0.96,before-name-verb,97,“This woman's kin wouldn't like her to demean herself to a common carpenter.”
q00106,Ben,0.98,after-verb-name,98,“Tchu!”
q00107,Ben,0.94,before-verb-name,98,"“what's folks's kin got to do wi't? Not a chip. Poyser's wife may turn her nose up an' forget bygones, but this Dinah Morris, they tell me, 's as poor as iver she was—works at a mill, an's much ado to keep hersen. A strappin' young carpenter as is a ready-made Methody, like Seth, wouldna be a bad match for her. Why, Poysers make as big a fuss wi' Adam Bede as if he war a nevvy o' their own.”"
q00108,,0.00,unresolved,99,“Idle talk! idle talk!”
q00109,,0.00,unresolved,99,“Adam an' Seth's two men; you wunna fit them two wi' the same last.”
q00110,Wiry Ben,0.98,after-verb-name,100,"“Maybe,”"
q00111,Wiry Ben,0.94,before-verb-name,100,"“but Seth's the lad for me, though he war a Methody twice o'er. I'm fair beat wi' Seth, for I've been teasin' him iver sin' we've been workin' together, an' he bears me no more malice nor a lamb. An' he's a stout-hearted feller too, for when we saw the old tree all afire a-comin' across the fields one night, an' we thought as it war a boguy, Seth made no more ado, but he up to't as bold as a constable. Why, there he comes out o' Will Maskery's; an' there's Will hisself, lookin' as meek as if he couldna knock a nail o' the head for fear o' hurtin't. An' there's the pretty preacher woman! My eye, she's got her bonnet off. I mun go a bit nearer.”"
q00112,Dinah,0.96,before-name-verb,101,"“I know you think me a pretty woman, too young to preach”"
q00113,Dinah,0.91,same-paragraph,101,“But you must think of me as a saint.”
q00114,,0.00,unresolved,102,"“A sweet woman,”"
q00115,,0.00,unresolved,102,“but surely nature never meant her for a preacher.”
q00116,Dinah,0.97,after-name-verb,103,"“makes up,”"
q00117,,0.00,unresolved,104,"“Dear friends,”"
q00118,,0.00,unresolved,104,“let us pray for a blessing.”
q00119,,0.00,unresolved,105,"“Saviour of sinners! When a poor woman laden with sins, went out to the well to draw water, she found Thee sitting at the well. She knew Thee not; she had not sought Thee; her mind was dark; her life was unholy. But Thou didst speak to her, Thou didst teach her, Thou didst show her that her life lay open before Thee, and yet Thou wast ready to give her that blessing which she had never sought. Jesus, Thou art in the midst of us, and Thou knowest all men: if there is any here like that poor woman—if their minds are dark, their lives unholy—if they have come out not seeking Thee, not desiring to be taught; deal with them according to the free mercy which Thou didst show to her. Speak to them, Lord, open their ears to my message, bring their sins to their minds, and make them thirst for that salvation which Thou art ready to give.”"
q00120,,0.00,unresolved,106,"“Lord, Thou art with Thy people still: they see Thee in the night-watches, and their hearts burn within them as Thou talkest with them by the way. And Thou art near to those who have not known Thee: open their eyes that they may see Thee—see Thee weeping over them, and saying ‘Ye will not come unto me that ye might have life'—see Thee hanging on the cross and saying, ‘Father, forgive them, for they know not what they do'—see Thee as Thou wilt come again in Thy glory to judge them at the last. Amen.”"
q00121,,0.00,unresolved,108,"“Dear friends,”"
q00122,,0.00,unresolved,108,"“you have all of you been to church, and I think you must have heard the clergyman read these words: ‘The Spirit of the Lord is upon me, because he hath anointed me to preach the gospel to the poor.' Jesus Christ spoke those words—he said he came to preach the Gospel to the poor: I don't know whether you ever thought about those words much, but I will tell you when I remember first hearing them. It was on just such a sort of evening as this, when I was a little girl, and my aunt as brought me up took me to hear a good man preach out of doors, just as we are here. I remember his face well: he was a very old man, and had very long white hair; his voice was very soft and beautiful, not like any voice I had ever heard before. I was a little girl and scarcely knew anything, and this old man seemed to me such a different sort of a man from anybody I had ever seen before that I thought he had perhaps come down from the sky to preach to us, and I said, ‘Aunt, will he go back to the sky to-night, like the picture in the Bible?'”"
q00123,,0.00,unresolved,109,"“That man of God was Mr. Wesley, who spent his life in doing what our blessed Lord did—preaching the Gospel to the poor—and he entered into his rest eight years ago. I came to know more about him years after, but I was a foolish thoughtless child then, and I remembered only one thing he told us in his sermon. He told us as ‘Gospel' meant ‘good news.' The Gospel, you know, is what the Bible tells us about God.”"
q00124,,0.00,unresolved,110,"“Think of that now! Jesus Christ did really come down from heaven, as I, like a silly child, thought Mr. Wesley did; and what he came down for was to tell good news about God to the poor. Why, you and me, dear friends, are poor. We have been brought up in poor cottages and have been reared on oat-cake, and lived coarse; and we haven't been to school much, nor read books, and we don't know much about anything but what happens just round us. We are just the sort of people that want to hear good news. For when anybody's well off, they don't much mind about hearing news from distant parts; but if a poor man or woman's in trouble and has hard work to make out a living, they like to have a letter to tell 'em they've got a friend as will help 'em. To be sure, we can't help knowing something about God, even if we've never heard the Gospel, the good news that our Saviour brought us. For we know everything comes from God: don't you say almost every day, ‘This and that will happen, please God,' and ‘We shall begin to cut the grass soon, please God to send us a little more sunshine'? We know very well we are altogether in the hands of God. We didn't bring ourselves into the world, we can't keep ourselves alive while we're sleeping; the daylight, and the wind, and the corn, and the cows to give us milk—everything we have comes from God. And he gave us our souls and put love between parents and children, and husband and wife. But is that as much as we want to know about God? We see he is great and mighty, and can do what he will: we are lost, as if we was struggling in great waters, when we try to think of him.”"
q00125,,0.00,unresolved,111,"“But perhaps doubts come into your mind like this: Can God take much notice of us poor people? Perhaps he only made the world for the great and the wise and the rich. It doesn't cost him much to give us our little handful of victual and bit of clothing; but how do we know he cares for us any more than we care for the worms and things in the garden, so as we rear our carrots and onions? Will God take care of us when we die? And has he any comfort for us when we are lame and sick and helpless? Perhaps, too, he is angry with us; else why does the blight come, and the bad harvests, and the fever, and all sorts of pain and trouble? For our life is full of trouble, and if God sends us good, he seems to send bad too. How is it? How is it?”"
q00126,,0.00,unresolved,112,"“Ah, dear friends, we are in sad want of good news about God; and what does other good news signify if we haven't that? For everything else comes to an end, and when we die we leave it all. But God lasts when everything else is gone. What shall we do if he is not our friend?”"
q00127,,0.00,unresolved,114,"“So you see, dear friends,”"
q00128,,0.00,unresolved,114,"“Jesus spent his time almost all in doing good to poor people; he preached out of doors to them, and he made friends of poor workmen, and taught them and took pains with them. Not but what he did good to the rich too, for he was full of love to all men, only he saw as the poor were more in want of his help. So he cured the lame and the sick and the blind, and he worked miracles to feed the hungry because, he said, he was sorry for them; and he was very kind to the little children and comforted those who had lost their friends; and he spoke very tenderly to poor sinners that were sorry for their sins.”"
q00129,,0.00,unresolved,115,"“Ah, wouldn't you love such a man if you saw him—if he were here in this village? What a kind heart he must have! What a friend he would be to go to in trouble! How pleasant it must be to be taught by him.”"
q00130,,0.00,unresolved,116,"“Well, dear friends, who was this man? Was he only a good man—a very good man, and no more—like our dear Mr. Wesley, who has been taken from us?... He was the Son of God—‘in the image of the Father,' the Bible says; that means, just like God, who is the beginning and end of all things—the God we want to know about. So then, all the love that Jesus showed to the poor is the same love that God has for us. We can understand what Jesus felt, because he came in a body like ours and spoke words such as we speak to each other. We were afraid to think what God was before—the God who made the world and the sky and the thunder and lightning. We could never see him; we could only see the things he had made; and some of these things was very terrible, so as we might well tremble when we thought of him. But our blessed Saviour has showed us what God is in a way us poor ignorant people can understand; he has showed us what God's heart is, what are his feelings towards us.”"
q00131,,0.00,unresolved,117,"“But let us see a little more about what Jesus came on earth for. Another time he said, ‘I came to seek and to save that which was lost'; and another time, ‘I came not to call the righteous but sinners to repentance.'”"
q00132,,0.00,unresolved,118,"“The lost!... Sinners!... Ah, dear friends, does that mean you and me?”"
q00133,,0.00,unresolved,119,“Will God take care of us when we die?”
q00134,,0.00,unresolved,119,“Lost!—Sinners!”
q00135,Dinah,0.97,after-name-verb,121,"“old Feyther Taft,”"
q00136,,0.00,unresolved,122,“curcheyed”
q00137,,0.00,unresolved,122,"“eat an egg, an apple, or a nut.”"
q00138,,0.00,unresolved,123,“See!”
q00139,,0.00,unresolved,123,"“See where our blessed Lord stands and weeps and stretches out his arms towards you. Hear what he says: ‘How often would I have gathered you as a hen gathereth her chickens under her wings, and ye would not!'... and ye would not,”"
q00140,,0.00,unresolved,123,"“See the print of the nails on his dear hands and feet. It is your sins that made them! Ah! How pale and worn he looks! He has gone through all that great agony in the garden, when his soul was exceeding sorrowful even unto death, and the great drops of sweat fell like blood to the ground. They spat upon him and buffeted him, they scourged him, they mocked him, they laid the heavy cross on his bruised shoulders. Then they nailed him up. Ah, what pain! His lips are parched with thirst, and they mock him still in this great agony; yet with those parched lips he prays for them, ‘Father, forgive them, for they know not what they do.' Then a horror of great darkness fell upon him, and he felt what sinners feel when they are for ever shut out from God. That was the last drop in the cup of bitterness. ‘My God, my God!' he cries, ‘why hast Thou forsaken me?'"
q00141,,0.00,unresolved,124,"“All this he bore for you! For you—and you never think of him; for you—and you turn your backs on him; you don't care what he has gone through for you. Yet he is not weary of toiling for you: he has risen from the dead, he is praying for you at the right hand of God—‘Father, forgive them, for they know not what they do.' And he is upon this earth too; he is among us; he is there close to you now; I see his wounded body and his look of love.”"
q00142,,0.00,unresolved,126,"“Poor child! Poor child! He is beseeching you, and you don't listen to him. You think of ear-rings and fine gowns and caps, and you never think of the Saviour who died to save your precious soul. Your cheeks will be shrivelled one day, your hair will be grey, your poor body will be thin and tottering! Then you will begin to feel that your soul is not saved; then you will have to stand before God dressed in your sins, in your evil tempers and vain thoughts. And Jesus, who stands ready to help you now, won't help you then; because you won't have him to be your Saviour, he will be your judge. Now he looks at you with love and mercy and says, ‘Come to me that you may have life'; then he will turn away from you, and say, ‘Depart from me into ever-lasting fire!'”"
q00143,Dinah,0.97,after-name-verb,128,"“Ah, poor blind child!”"
q00144,Dinah,0.96,before-name-verb,128,"“think if it should happen to you as it once happened to a servant of God in the days of her vanity. She thought of her lace caps and saved all her money to buy 'em; she thought nothing about how she might get a clean heart and a right spirit—she only wanted to have better lace than other girls. And one day when she put her new cap on and looked in the glass, she saw a bleeding Face crowned with thorns. That face is looking at you now”"
q00145,Dinah,0.91,same-paragraph,128,"“Ah, tear off those follies! Cast them away from you, as if they were stinging adders. They are stinging you—they are poisoning your soul—they are dragging you down into a dark bottomless pit, where you will sink for ever, and for ever, and for ever, further away from light and God.”"
q00146,Chad,0.91,same-paragraph,129,“laid hold on”
q00147,Chad,0.96,before-name-verb,129,"“Folks mun ha' hoss-shoes, praichin' or no praichin': the divil canna lay hould o' me for that,”"
q00148,,0.00,unresolved,131,"“Dear friends,”"
q00149,,0.00,unresolved,131,"“brothers and sisters, whom I love as those for whom my Lord has died, believe me, I know what this great blessedness is; and because I know it, I want you to have it too. I am poor, like you: I have to get my living with my hands; but no lord nor lady can be so happy as me, if they haven't got the love of God in their souls. Think what it is—not to hate anything but sin; to be full of love to every creature; to be frightened at nothing; to be sure that all things will turn to good; not to mind pain, because it is our Father's will; to know that nothing—no, not if the earth was to be burnt up, or the waters come and drown us—nothing could part us from God who loves us, and who fills our souls with peace and joy, because we are sure that whatever he wills is holy, just, and good.”"
q00150,,0.00,unresolved,132,"“Dear friends, come and take this blessedness; it is offered to you; it is the good news that Jesus came to preach to the poor. It is not like the riches of this world, so that the more one gets the less the rest can have. God is without end; his love is without end—”"
q00151,Dinah,0.96,before-name-verb,135,"“Let us sing a little, dear friends”"
q00152,Seth,0.96,before-name-verb,137,"“She's too good and holy for any man, let alone me,”"
q00153,Seth,0.96,before-name-verb,137,“There's no man could love her better and leave her freer to follow the Lord's work.”
q00154,,0.00,unresolved,138,"“You've quite made up your mind to go back to Snowfield o' Saturday, Dinah?”"
q00155,Dinah,0.98,after-verb-name,139,"“Yes,”"
q00156,Dinah,0.94,before-verb-name,139,"“I'm called there. It was borne in upon my mind while I was meditating on Sunday night, as Sister Allen, who's in a decline, is in need of me. I saw her as plain as we see that bit of thin white cloud, lifting up her poor thin hand and beckoning to me. And this morning when I opened the Bible for direction, the first words my eyes fell on were, ‘And after we had seen the vision, immediately we endeavoured to go into Macedonia.' If it wasn't for that clear showing of the Lord's will, I should be loath to go, for my heart yearns over my aunt and her little ones, and that poor wandering lamb Hetty Sorrel. I've been much drawn out in prayer for her of late, and I look on it as a token that there may be mercy in store for her.”"
q00157,Seth,0.98,after-verb-name,140,"“God grant it,”"
